SPECIAL EVENTS CALENDAR 2017,,,,,,,,
,,,,,,,,
UPDATED 28 February 2017,,,,,,,,
,,,,,,,,Buses booked
Day,Date,Type,Event,Kick off,Vehicle Requirement,Tacho,Comments,out by
,,,,,,,,
,,,,,DD High Speed,No,"Duty 9733 429B 1238 - 0009 Breaks 1445-1522, 1715-1752",Night Chargehand
,,,,,,,and 1945 - 2022,
Mon,060217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Mon,060217,Tube Replacement,Paddington - Old St,,DD High Speed,No,Duty 9730 205A 0325 - 1620 Minimum 30 minute break TBA,Night Chargehand
,,CANCELLED,Paddington - Old St,,DD High Speed,No,Duty 9731 205B 0325 - 1620 Minimum 30 minute break TBA,Night Chargehand
,,,Paddington - Old St,,DD High Speed,No,Duty 9732 205C 0325 - 1620 Minimum 30 minute break TBA,Night Chargehand
,,,H'smith -,,DD High Speed,No,Duty 9733 8A 0340 - 1605 Minimum 30 minute break TBA,Night Chargehand
Tues,070217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Tues,070217,Tube Replacement,Paddington - Old St,,DD High Speed,No,Duty 9730 205A 1125 - 2220 Minumum 30 minute break TBA,Night Chargehand
,,CANCELLED,Paddington - Old St,,DD High Speed,No,Duty 9731 205B 1125 - 2220 Minumum 30 minute break TBA,Night Chargehand
,,,Paddington - Old St,,DD High Speed,No,Duty 9732 205C 1125 - 2220 Minumum 30 minute break TBA,Night Chargehand
,,,H'smith -,,DD High Speed,No,Duty 9733 8A 1140 - 2205 Minimum 30 minute break TBA,Night Chargehand
Wed,080217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Thurs,090217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Fri,100217,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Sat,110217,Football,Barnsley,1500,TBA by Control,No,F40 and F41,Control
Sun,120217,SWT Rail Repl,Clapham Junction,,DD High Speed,No,Duty 9730 602A 0424 - 1415 Break 0952 - 1048,Night Chargehand
,,,and,,DD High Speed,No,Duty 9731 602B 1217 - 0129 Breaks 1604-1658 & 1828 - 2022,Night Chargehand
,,,Twickenham,,,,Non Driving 1/00,
,,,or Kew Bridge,,DD High Speed,No,Duty 9732 608A 0533 - 1510 Break 1104 - 1148,Night Chargehand
,,,,,DD High Speed,No,Duty 9733 608B 1317 - 0229 Breaks 1704-1748 & 2304-2349,Night Chargehand
,,,,,,,Non Driving 1/37,
,,,,,DD High Speed,No,Duty 9734 612A 0514 - 1657 Breaks 0904-0958 & 1228-1322,Night Chargehand
