"","routeNo","nClaims","rank","cumPctRoutes","pctClaims","cumPctClaims"
"213","DEPO",1,213,0.946666666666667,0.000946969696969697,0.988636363636364
"214","Flee",1,214,0.951111111111111,0.000946969696969697,0.989583333333333
"215","LH1/",1,215,0.955555555555556,0.000946969696969697,0.990530303030303
"216","N/A ",1,216,0.96,0.000946969696969697,0.991477272727273
"217","N/K",1,217,0.964444444444444,0.000946969696969697,0.992424242424242
"218","OOX4",1,218,0.968888888888889,0.000946969696969697,0.993371212121212
"219","Road",1,219,0.973333333333333,0.000946969696969697,0.994318181818182
"220","Rout",1,220,0.977777777777778,0.000946969696969697,0.995265151515151
"221","Trai",1,221,0.982222222222222,0.000946969696969697,0.996212121212121
"222","V009",1,222,0.986666666666667,0.000946969696969697,0.997159090909091
"223","V0V2",1,223,0.991111111111111,0.000946969696969697,0.998106060606061
"224","V11/",1,224,0.995555555555556,0.000946969696969697,0.99905303030303
"225","X004",1,225,1,0.000946969696969697,1
